"domaine_professionnel","grand_domaine","rome","type_structure","id_structure","nombre_de_fiches_de_poste_en_tension","id","id_asp","structure_id_siae","adresse_ligne_1","adresse_ligne_2","ville","code_commune","code_postal","longitude","latitude","département","région"
D12- Commerce non alimentaire et de prestations de confort,"D- Commerce, Vente et Grande distribution",D1201-Brocanteur / Brocanteuse,ACI,9604,1,9604,5266,5266,"6 rue du stade","",MAICHE,"25356","25120",6.789022,47.248023,"25",Bourgogne-Franche-Comté
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1701-Coffreur / Coffreuse,ETTI,5072,1,5072,2010,2010,"188 Avenue Jacques Duhamel",Immeuble @,DOLE,"39198","39100",5.475557,47.081108,"39",Bourgogne-Franche-Comté
K22- Nettoyage et propreté industriels,K- Services à la personne et à la collectivité,K2204-Agent / Agente de nettoyage industriel,AI,7281,1,7281,812,812,"43 bis Allées Alphonse Karr","",CHALONS EN CHAMPAGNE,"51108","51000",4.367904,48.94784,"51",Grand Est
H21- Alimentaire,H- Industrie,H2102-Conducteur / Conductrice de ligne en industrie alimentaire,ETTI,10851,1,10851,6101,6101,"2, rue de Noyon","",HAM,"80410","80400",3.072604,49.745873,"80",Hauts-de-France
K22- Nettoyage et propreté industriels,K- Services à la personne et à la collectivité,K2204-Agent / Agente de nettoyage industriel,AI,7331,1,7331,1201,1201,"2 Rue de Clastres","",ST PAUL TROIS CHATEAUX,"26324","26130",4.760673,44.346956,"26",Auvergne-Rhône-Alpes
K22- Nettoyage et propreté industriels,K- Services à la personne et à la collectivité,K2204-Agent / Agente de nettoyage industriel,AI,8294,1,8294,2574,2574,"1 Rue des Filatures","",CLISSON,"44043","44190",-1.291219,47.080584,"44",Pays de la Loire
F15- Montage de structures,"F- Construction, Bâtiment et Travaux publics",F1503-Charpentier / Charpentière,ETTI,1682,1,1682,3729,3729,"50 Rue de Marseille","",BORDEAUX,"33063","33000",-0.596521,44.844156999999996,"33",Nouvelle-Aquitaine
D12- Commerce non alimentaire et de prestations de confort,"D- Commerce, Vente et Grande distribution",D1202-Coiffeur / Coiffeuse,ACI,9544,1,9544,5328,5328,"20 route du Maido","",LES TROIS BASSINS,"97415","97423",55.309549,-21.037283,"974",La Réunion
"I13- Equipements de production, équipements collectifs",I- Installation et Maintenance,I1309-Électricien / Électricienne de maintenance,ETTI,4194,1,4194,1484,1484,"26 boulevard Waldeck Rousseau","",ST BRIEUC,"22278","22000",-2.757234,48.509904,"22",Bretagne
"N11- Magasinage, manutention des charges et déménagement",N- Transport et Logistique,N1103-Préparateur / Préparatrice de commandes,ETTI,3614,1,3614,4161,4161,"2 Rue du Portugal","28 Place Charles de Gaulle",VICHY,"03310","03200",3.425822,46.12562700000001,"03",Auvergne-Rhône-Alpes
"K12- Action sociale, socio-éducative et socio-culturelle",K- Services à la personne et à la collectivité,K1204-Médiateur social / Médiatrice sociale,ACI,7697,1,7697,3919,3919,"71 Rue Jean Baptiste Rouam-sim",baie des tourelles,FORT DE FRANCE,"97209","97200",-61.05594399999998,14.60037199999999,"972",Martinique
"I16- Véhicules, engins, aéronefs",I- Installation et Maintenance,I1604-Mécanicien / Mécanicienne automobile,ETTI,10360,1,10360,2794,2794,"30 bis rue du mail","",ROUEN,"76540","76100",1.091095,49.429859,"76",Normandie
L15- Techniciens du spectacle,L- Spectacle,L1505-Cadreur / Cadreuse,ETTI,11982,1,11982,6985,6985,"101 B RUE DE ROSEL",AFPA BATIMENT 4,CAEN,"14118","14000",-0.38076,49.190332,"14",Normandie
H21- Alimentaire,H- Industrie,H2102-Conducteur / Conductrice de ligne en industrie alimentaire,ETTI,2701,2,2701,2755,2755,"45 Rue César Campinchi","",BASTIA,"2B033","20200",9.450515,42.704166,"2B",Corse
N41- Personnel de conduite du transport routier,N- Transport et Logistique,N4101-Conducteur / Conductrice de poids lourd,EI,9470,1,9470,5245,5245,"5 RUE DES TULIPES","",MUTTERSHOLTZ,"67311","67600",7.53289,48.262611,"67",Grand Est
A14- Production,"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A1419-Ouvrier agricole polyvalent / Ouvrière agricole polyvalente,AI,6980,1,6980,1677,1677,"19 Rue du Docteur Larquier","",HAGETMAU,"40119","40700",-0.59426,43.655259,"40",Nouvelle-Aquitaine
G11- Accueil et promotion touristique,"G- Hôtellerie-Restauration, Tourisme, Loisirs et Animation",G1101-Agent / Agente d'accueil touristique,ACI,6832,1,6832,368,368,Lieu Dit la Voulzie,CS40005,LATHUS ST REMY,"86120","86390",0.931886,46.31165,"86",Nouvelle-Aquitaine
F16- Second oeuvre,"F- Construction, Bâtiment et Travaux publics",F1606-Peintre en bâtiment,ETTI,9826,1,9826,2666,2666,"123 RUE SAINT LOUIS","",ST DENIS,"97411","97450",,,"974",La Réunion
N41- Personnel de conduite du transport routier,N- Transport et Logistique,N4101-Conducteur / Conductrice de poids lourd,ETTI,3593,1,3593,4091,4091,"52 Avenue Gambetta","",GUERET,"23096","23000",1.8776169999999999,46.172779999999996,"23",Nouvelle-Aquitaine
H22- Bois,H- Industrie,H2206-Menuisier / Menuisière,ETTI,11143,1,11143,6346,6346,"143 Avenue Aristide Briand","",RENNES,"35238","35000",-1.655868,48.110396,"35",Bretagne
K13- Aide à la vie quotidienne,K- Services à la personne et à la collectivité,K1301-Accompagnateur médicosocial / Accompagnatrice médicosociale,AI,5466,2,5466,1500,1500,"20 Avenue Meunier","",MOULINS,"03190","03000",3.336597,46.559347,"03",Auvergne-Rhône-Alpes
I12- Entretien technique,I- Installation et Maintenance,I1203-Agent / Agente d'entretien du bâtiment,AI,5743,1,5743,1201,1201,"2 Rue de Clastres","",ST PAUL TROIS CHATEAUX,"26324","26130",4.760673,44.346956,"26",Auvergne-Rhône-Alpes
A12- Espaces naturels et espaces verts,"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A1203-Agent / Agente d'entretien des espaces verts,AI,7371,1,7371,687,687,"1 Boulevard Gallieni","",AUXERRE,"89024","89000",3.550769,47.795362000000004,"89",Bourgogne-Franche-Comté
"N11- Magasinage, manutention des charges et déménagement",N- Transport et Logistique,N1105-Manutentionnaire,AI,7852,1,7852,992,992,"6 Rue des Arts","",LES HERBIERS,"85109","85500",-1.010424,46.870832,"85",Pays de la Loire
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1704-Manœuvre bâtiment,ETTI,2569,1,2569,2624,2624,"33 Rue du Marechal Juin","",LA ROCHE SUR YON,"85191","85000",-1.422967,46.663349,"85",Pays de la Loire
"I13- Equipements de production, équipements collectifs",I- Installation et Maintenance,I1309-Électricien / Électricienne de maintenance,ETTI,11380,1,11380,6250,6250,"70 Avenue Maurice Planès",QUARTIER VAL DE CROZE,MONTPELLIER,"34172","34070",3.843256,43.597158,"34",Occitanie
K13- Aide à la vie quotidienne,K- Services à la personne et à la collectivité,K1304-Employé familial / Employée familiale de maison,EI,7611,1,7611,2194,2194,"12 Rue Joffre",TRAVAIL ET PARTAGE,LE MOULE,"97117","97160",-61.343671,16.331502,"971",Guadeloupe
D11- Commerce alimentaire et métiers de bouche,"D- Commerce, Vente et Grande distribution",D1107-Grossiste en produits frais,ACI,10604,1,10604,6051,6051,"1110 RUE JULES BOUGEL","",XERTIGNY,"88530","88220",6.417639,48.051447,"88",Grand Est
"I13- Equipements de production, équipements collectifs",I- Installation et Maintenance,I1308-Technicien / Technicienne chauffagiste,ETTI,6111,1,6111,5119,5119,"289 avenue Maréchal Foch","",ORANGE,"84135","84100",4.804425,44.149879,"84",Provence-Alpes-Côte d'Azur
A11- Engins agricoles et forestiers,"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A1101-Conducteur / Conductrice d'engins agricoles,ACI,6773,1,6773,348,348,"26 rue de Notz","",CHATEAUROUX,"36044","36000",1.689132,46.803975,"36",Centre-Val de Loire
D15- Grande distribution,"D- Commerce, Vente et Grande distribution",D1505-Caissier / Caissière,ETTI,11847,1,11847,6822,6822,"4 rue jean jacques rousseau","",ST LAURENT DU MARONI,"97311","97320",-54.030667,5.501326,"973",Guyane
F13- Engins de chantier,"F- Construction, Bâtiment et Travaux publics",F1302-Conducteur / Conductrice d'engins de chantier,ETTI,6628,5,6628,4159,4159,"64 Avenue General Henri Nogues","",TOULON,"83137","83000",5.920978,43.128011,"83",Provence-Alpes-Côte d'Azur
B18- Tissu et cuirs,B- Arts et Façonnage d'ouvrages d'art,B1806-Tapissier / Tapissière d'ameublement,ACI,7746,1,7746,4818,4818,LOT La charmeuse,Maison MASPIMBY rue du bouquet garni,LE PRECHEUR,"97225","97250",-61.220101,14.792541,"972",Martinique
"H29- Mécanique, travail des métaux et outillage",H- Industrie,H2905-Cisailleur / Cisailleuse en métallurgie,ETTI,10212,1,10212,6614,6614,"59 Rue Pitre Grenapin",Pôle Actiouest,ST NAZAIRE,"44184","44600",-2.2576949999999996,47.26357600000001,"44",Pays de la Loire
D12- Commerce non alimentaire et de prestations de confort,"D- Commerce, Vente et Grande distribution",D1214-Vendeur / Vendeuse en prêt-à-porter,ACI,68,1,68,545,545,"2 rue Mozart","",SCHERWILLER,"67445","67750",7.422945,48.291319,"67",Grand Est
