"domaine_professionnel","grand_domaine","rome","type_structure","id_structure","nombre_de_fiches_de_poste_en_tension","id","id_asp","structure_id_siae","adresse_ligne_1","adresse_ligne_2","ville","code_commune","code_postal","longitude","latitude","département","région"
I12- Entretien technique,I- Installation et Maintenance,I1203-Agent / Agente d'entretien du bâtiment,AI,7580,1,7580,3605,3605,"12 Rue Saint Thiebaut","",THANN,"68334","68800",7.101674,47.811693999999996,"68",Grand Est
"N11- Magasinage, manutention des charges et déménagement",N- Transport et Logistique,N1101-Cariste,ETTI,3863,1,3863,4528,4528,HUB DE L EMPLOI,"101 RUE GRANDE",VAL DE REUIL,"27701","27100",1.200146,49.273121,"27",Normandie
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1704-Manœuvre bâtiment,ETTI,10568,2,10568,5963,5963,"6 rue des Bretons","",ST DENIS,"93066","93210",2.358557,48.919946,"93",Île-de-France
A12- Espaces naturels et espaces verts,"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A1203-Agent / Agente d'entretien des espaces verts,ETTI,3614,1,3614,4161,4161,"2 Rue du Portugal","28 Place Charles de Gaulle",VICHY,"03310","03200",3.425822,46.12562700000001,"03",Auvergne-Rhône-Alpes
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1701-Coffreur / Coffreuse,ETTI,3284,1,3284,3358,3358,"2 Rue du Cygne","",DESVRES,"62268","62240",1.835443,50.668391,"62",Hauts-de-France
F15- Montage de structures,"F- Construction, Bâtiment et Travaux publics",F1502-Échafaudeur / Échafaudeuse,ETTI,2030,1,2030,2059,2059,"27 rue de la Gare","",HAGONDANGE,"57283","57300",6.16767399999999,49.251284,"57",Grand Est
A12- Espaces naturels et espaces verts,"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A1203-Agent / Agente d'entretien des espaces verts,ACI,8265,1,8265,4765,4765,"1 Rue François Arago","",DOUVRES LA DELIVRANDE,"14228","14440",-0.371024,49.286396,"14",Normandie
A12- Espaces naturels et espaces verts,"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A1203-Agent / Agente d'entretien des espaces verts,ETTI,12265,1,12265,7231,7231,"24 quai d'Alger","",SETE,"34301","34200",3.699803,43.399307,"34",Occitanie
K22- Nettoyage et propreté industriels,K- Services à la personne et à la collectivité,K2204-Agent / Agente de nettoyage industriel,AI,12123,1,12123,7094,7094,"14 Rue de la Petite Colline","",GUERANDE,"44069","44350",-2.413332,47.324805,"44",Pays de la Loire
G16- Production culinaire,"G- Hôtellerie-Restauration, Tourisme, Loisirs et Animation",G1602-Commis / Commise de cuisine,AI,7889,1,7889,1582,1582,La Cour du Bois,"",MACHECOUL ST MEME,"44157","44270",-1.827554,46.988298,"44",Pays de la Loire
"H12- Conception, recherche, études et développement",H- Industrie,H1203-Dessinateur-projeteur / Dessinatrice-projeteuse en mécanique,ETTI,2725,1,2725,2785,2785,"23 rue Henri Barbusse","",FRIVILLE ESCARBOTIN,"80368","80130",1.548406,50.089844,"80",Hauts-de-France
H21- Alimentaire,H- Industrie,H2101-Ouvrier / Ouvrière d'abattoir,AI,6354,1,6354,1317,1317,"53, Route de Mirande","",MARCIAC,"32233","32230",0.175908,43.517919,"32",Occitanie
N41- Personnel de conduite du transport routier,N- Transport et Logistique,N4101-Conducteur / Conductrice de poids lourd,ETTI,1484,1,1484,1484,1484,"26 boulevard Waldeck Rousseau","",ST BRIEUC,"22278","22000",-2.757234,48.509904,"22",Bretagne
G16- Production culinaire,"G- Hôtellerie-Restauration, Tourisme, Loisirs et Animation",G1601-Chef / Cheffe de cuisine,EI,11281,1,11281,3845,3845,"1992 Parc d’Activites Colin Nord","",PETIT BOURG,"97118","97170",-61.609079,16.200443,"971",Guadeloupe
G16- Production culinaire,"G- Hôtellerie-Restauration, Tourisme, Loisirs et Animation",G1603-Équipier polyvalent / Équipière polyvalente de restauration rapide,ACI,4232,1,4232,210,210,"15 Rue de Verdun",MAISON DE LA SOLIDARITE,FLORANGE,"57221","57190",6.112764,49.321757,"57",Grand Est
"H29- Mécanique, travail des métaux et outillage",H- Industrie,H2902-Chaudronnier / Chaudronnière,ETTI,1920,1,1920,1947,1947,"261 Route de Saint-michel","",BOURGES,"18033","18000",2.423917,47.104167,"18",Centre-Val de Loire
F13- Engins de chantier,"F- Construction, Bâtiment et Travaux publics",F1302-Conducteur / Conductrice d'engins de chantier,ETTI,4623,1,4623,4463,4463,"3 Place d'Avrinsart",La Fabrique à Entreprendre RdC,EPINAL,"88160","88000",6.455122,48.183152,"88",Grand Est
K23- Propreté et environnement urbain,K- Services à la personne et à la collectivité,K2303-Ripeur / Ripeuse,AI,7943,1,7943,2574,2574,"1 Rue des Filatures","",CLISSON,"44043","44190",-1.291219,47.080584,"44",Pays de la Loire
F16- Second oeuvre,"F- Construction, Bâtiment et Travaux publics",F1603-Plombier / Plombière,ETTI,11143,1,11143,6346,6346,"143 Avenue Aristide Briand","",RENNES,"35238","35000",-1.655868,48.110396,"35",Bretagne
F16- Second oeuvre,"F- Construction, Bâtiment et Travaux publics",F1603-Plombier / Plombière,ETTI,10916,1,10916,6161,6161,"4 Place de la Résistance","",CAEN,"14118","14000",-0.356253,49.180488,"14",Normandie
"N11- Magasinage, manutention des charges et déménagement",N- Transport et Logistique,N1103-Préparateur / Préparatrice de commandes,ETTI,10967,1,10967,6197,6197,Route de Baduel,CTRE. BADUEL 1ER ETAGE BAT C,CAYENNE,"97302","97300",-52.306796999999996,4.931638999999991,"973",Guyane
F16- Second oeuvre,"F- Construction, Bâtiment et Travaux publics",F1611-Façadier / Façadière,ETTI,3858,1,3858,1518,1518,"12 Place la Fayette","",ST QUENTIN,"02691","02100",3.287427,49.850943,"02",Hauts-de-France
H33- Préparation et conditionnement,H- Industrie,H3302-Agent / Agente de conditionnement,EI,5629,1,5629,3238,3238,"59 Rue du nant de Cruet","",GILLY SUR ISERE,"73303","73400",6.395039,45.759639,"73",Auvergne-Rhône-Alpes
"N11- Magasinage, manutention des charges et déménagement",N- Transport et Logistique,N1105-Manutentionnaire,AI,7172,1,7172,855,855,"22 avenue GAMBETTA- 79400 SAINT MAIXENT L'ECOLE","",ST MAIXENT L ECOLE,"79270","79400",-0.202603,46.414528,"79",Nouvelle-Aquitaine
F16- Second oeuvre,"F- Construction, Bâtiment et Travaux publics",F1605-Électricien / Électricienne réseaux,ETTI,9994,1,9994,2063,2063,"6 Avenue de la Libération","",UZES,"30334","30700",4.417036,44.011723,"30",Occitanie
F16- Second oeuvre,"F- Construction, Bâtiment et Travaux publics",F1606-Peintre en bâtiment,AI,8097,1,8097,425,425,"170 Rue du Conillot","",GRANVILLE,"50218","50400",-1.564255,48.839873,"50",Normandie
F15- Montage de structures,"F- Construction, Bâtiment et Travaux publics",F1502-Échafaudeur / Échafaudeuse,ETTI,1519,1,1519,1522,1522,"7 Rue Gustave Serrurier","",LE HAVRE,"76351","76620",0.108246,49.525925,"76",Normandie
K21- Formation initiale et continue,K- Services à la personne et à la collectivité,K2111-Formateur / Formatrice,AI,6844,1,6844,531,531,"15 Rue des Frères Faucher","",LA REOLE,"33352","33190",-0.037046,44.581468,"33",Nouvelle-Aquitaine
H33- Préparation et conditionnement,H- Industrie,H3302-Agent / Agente de conditionnement,ETTI,9971,1,9971,4812,4812,"20 bis rue du Ventoue","",LAMBALLE ARMOR,"22093","22400",-2.549792,48.468887,"22",Bretagne
K23- Propreté et environnement urbain,K- Services à la personne et à la collectivité,K2304-Agent / Agente de tri des déchets,ACI,4347,2,4347,1727,1727,"8 Impasse des Mathurins","",CHALONS EN CHAMPAGNE,"51108","51000",4.353185,48.954127,"51",Grand Est
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1704-Manœuvre bâtiment,ETTI,1658,1,1658,1665,1665,"17 Rue Louis Loucheur","",LYON 09,"69123","69009",4.802194,45.767944,"69",Auvergne-Rhône-Alpes
K13- Aide à la vie quotidienne,K- Services à la personne et à la collectivité,K1306-Auxiliaire de Vie Sociale (AVS),EI,1112,1,1112,1085,1085,Chemin de la Fernaye,"",GROFFLIERS,"62390","62600",1.606453,50.391768,"62",Hauts-de-France
A12- Espaces naturels et espaces verts,"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A1203-Agent / Agente d'entretien des espaces verts,AI,7859,1,7859,1091,1091,"77 Avenue Georges Clémenceau",LA MOTHE ACHARD,LES ACHARDS,"85152","85150",-1.658328,46.616924999999995,"85",Pays de la Loire
K22- Nettoyage et propreté industriels,K- Services à la personne et à la collectivité,K2204-Agent / Agente de nettoyage industriel,ETTI,11039,1,11039,6661,6661,"2 rue Owen Chamberlain","",CHALLANS,"85047","85300",-1.881088,46.836202,"85",Pays de la Loire
G16- Production culinaire,"G- Hôtellerie-Restauration, Tourisme, Loisirs et Animation",G1602-Commis / Commise de cuisine,AI,5813,2,5813,645,645,"26C Route de la Justice","",GAP,"05061","05000",6.105558,44.56537,"05",Provence-Alpes-Côte d'Azur
I12- Entretien technique,I- Installation et Maintenance,I1203-Agent / Agente d'entretien du bâtiment,ETTI,10927,1,10927,6182,6182,"2 rue Jacques de Thézac","",VANNES,"56260","56000",-2.774924,47.659095,"56",Bretagne
"H29- Mécanique, travail des métaux et outillage",H- Industrie,H2903-Tourneur-fraiseur / Tourneuse-fraiseuse,ETTI,2727,2,2727,2788,2788,"56 avenue Henri Martin","",ST QUENTIN,"02691","02100",3.278972,49.845489,"02",Hauts-de-France
K13- Aide à la vie quotidienne,K- Services à la personne et à la collectivité,K1304-Employé familial / Employée familiale de maison,AI,7498,1,7498,1656,1656,"14 Rue de la Marne","",PAIMPOL,"22162","22500",-3.049571,48.776976,"22",Bretagne
F15- Montage de structures,"F- Construction, Bâtiment et Travaux publics",F1501-Poseur / Poseuse de charpentes ou constructions bois,ETTI,2033,1,2033,2063,2063,"6 Avenue de la Libération","",UZES,"30334","30700",4.417036,44.011723,"30",Occitanie
H21- Alimentaire,H- Industrie,H2102-Conducteur / Conductrice de ligne en industrie alimentaire,ETTI,2370,1,2370,2408,2408,Rue Léon Fourney,"",MONTBARD,"21425","21500",4.338777,47.62305,"21",Bourgogne-Franche-Comté
F16- Second oeuvre,"F- Construction, Bâtiment et Travaux publics",F1604-Plaquiste,ETTI,3614,1,3614,4161,4161,"2 Rue du Portugal","28 Place Charles de Gaulle",VICHY,"03310","03200",3.425822,46.12562700000001,"03",Auvergne-Rhône-Alpes
N41- Personnel de conduite du transport routier,N- Transport et Logistique,N4105-Chauffeur-livreur / Chauffeuse-livreuse,ACI,4989,1,4989,863,863,"6 Rue Marcellin Berthelot","",BOHAIN EN VERMANDOIS,"02095","02110",3.457033,49.98714,"02",Hauts-de-France
G18- Service,"G- Hôtellerie-Restauration, Tourisme, Loisirs et Animation",G1803-Serveur / Serveuse en restauration,AI,2696,1,2696,2750,2750,"9 Chemin des Poulies","",ST DENIS,"93066","93200",2.361223,48.938715,"93",Île-de-France
D15- Grande distribution,"D- Commerce, Vente et Grande distribution",D1507-Employé / Employée de libre-service,ETTI,1484,1,1484,1484,1484,"26 boulevard Waldeck Rousseau","",ST BRIEUC,"22278","22000",-2.757234,48.509904,"22",Bretagne
D12- Commerce non alimentaire et de prestations de confort,"D- Commerce, Vente et Grande distribution",D1205-Employé / Employée de pressing,ACI,7071,1,7071,2738,2738,"2 Rue Pierre et Marie Curie","",LIMOGES,"87085","87000",1.24899,45.824984,"87",Nouvelle-Aquitaine
"N11- Magasinage, manutention des charges et déménagement",N- Transport et Logistique,N1101-Cariste,ETTI,11216,1,11216,6618,6618,"38 rue des forges","",VALLET,"44212","44330",-1.267814,47.160829,"44",Pays de la Loire
F16- Second oeuvre,"F- Construction, Bâtiment et Travaux publics",F1614-Poseur / Poseuse en fermetures de bâtiment,ETTI,2569,1,2569,2624,2624,"33 Rue du Marechal Juin","",LA ROCHE SUR YON,"85191","85000",-1.422967,46.663349,"85",Pays de la Loire
M16- Secrétariat et assistance,M- Support à l'entreprise,M1603-Facteur / Factrice,AI,9597,1,9597,719,719,"15 Rue de la Ferronnerie","",ROCHEFORT,"17299","17300",-0.958088,45.932036,"17",Nouvelle-Aquitaine
"N11- Magasinage, manutention des charges et déménagement",N- Transport et Logistique,N1101-Cariste,ETTI,6202,1,6202,4926,4926,"14 AVENUE JEAN MONNET","",RODEZ,"12202","12000",2.55821,44.35794,"12",Occitanie
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1704-Manœuvre bâtiment,AI,6296,1,6296,592,592,"12 Quai des Marronniers","",AUCH,"32013","32000",0.589872,43.646132,"32",Occitanie
A12- Espaces naturels et espaces verts,"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A1203-Agent / Agente d'entretien des espaces verts,AI,6726,1,6726,2198,2198,"8 Rue de l'Avé Maria","",BONNEVAL,"28051","28800",1.387202,48.182381,"28",Centre-Val de Loire
N44- Personnel sédentaire du transport ferroviaire et réseau filo guidé,N- Transport et Logistique,N4403-Cheminot / Cheminote,ETTI,1647,1,1647,1653,1653,Rue des Moulins Bleus,"",L ETOILE,"80296","80830",2.041586,50.015976,"80",Hauts-de-France
"I13- Equipements de production, équipements collectifs",I- Installation et Maintenance,I1309-Électricien / Électricienne de maintenance,AI,4284,1,4284,812,812,"43 bis Allées Alphonse Karr","",CHALONS EN CHAMPAGNE,"51108","51000",4.367904,48.94784,"51",Grand Est
K13- Aide à la vie quotidienne,K- Services à la personne et à la collectivité,K1304-Employé familial / Employée familiale de maison,AI,10449,1,10449,1934,1934,"34 Rue Paul Ligneul",siège,LE MANS,"72181","72000",0.191126,47.997379,"72",Pays de la Loire
K13- Aide à la vie quotidienne,K- Services à la personne et à la collectivité,K1304-Employé familial / Employée familiale de maison,AI,11074,1,11074,6290,6290,"71 avenue Maurice Berteaux",Porte 73,DUNKERQUE,"59183","59430",2.329592,51.034843,"59",Hauts-de-France
F16- Second oeuvre,"F- Construction, Bâtiment et Travaux publics",F1606-Peintre en bâtiment,ETTI,11495,1,11495,6434,6434,Caldaniccia,A2I ACTUAL 2A 694,SARROLA CARCOPINO,"2A271","20167",8.809668,41.952554,"2A",Corse
"I13- Equipements de production, équipements collectifs",I- Installation et Maintenance,I1309-Électricien / Électricienne de maintenance,ETTI,9971,1,9971,4812,4812,"20 bis rue du Ventoue","",LAMBALLE ARMOR,"22093","22400",-2.549792,48.468887,"22",Bretagne
L14- Sport professionnel,L- Spectacle,L1401-Sportif professionnel / Sportive professionnelle,AI,4834,1,4834,1785,1785,"87 Avenue de la Libération","",LAMORLAYE,"60346","60260",2.445809,49.157087,"60",Hauts-de-France
"H29- Mécanique, travail des métaux et outillage",H- Industrie,H2903-Tourneur-fraiseur / Tourneuse-fraiseuse,ETTI,11213,1,11213,6619,6619,"19 Rue Marcel Brunelière","",MACHECOUL ST MEME,"44087","44270",-1.812808,46.986364,"44",Pays de la Loire
K22- Nettoyage et propreté industriels,K- Services à la personne et à la collectivité,K2204-Agent / Agente de nettoyage industriel,AI,612,1,612,569,569,"8 RUE MACQUET MICHEDEZ","",BERCK,"62390","62600",1.570206,50.406471,"62",Hauts-de-France
A12- Espaces naturels et espaces verts,"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A1202-Agent / Agente d'entretien des espaces naturels,ACI,7409,1,7409,66,66,Rue du Moulin de blanchardeau,CS 60036,LANVOLLON,"22378","22290",-2.994951,48.624723,"22",Bretagne
I12- Entretien technique,I- Installation et Maintenance,I1203-Agent / Agente d'entretien du bâtiment,AI,8093,1,8093,402,402,Le Hamel Pins,Le Bény Bocage,SOULEUVRE EN BOCAGE,"14061","14350",-0.827193,48.933344,"14",Normandie
"N11- Magasinage, manutention des charges et déménagement",N- Transport et Logistique,N1105-Manutentionnaire,AI,1085,1,1085,1060,1060,"2 Résidence Jean Giono","",LE PORTEL,"62667","62480",1.584446,50.709811,"62",Hauts-de-France
H34- Traitements thermiques et traitements de surfaces,H- Industrie,H3404-Peintre industriel / Peintre industrielle,ETTI,11217,1,11217,6617,6617,"13 rue des Grands Champs","",ANCENIS ST GEREON,"44003","44150",-1.17944,47.372001,"44",Pays de la Loire
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1706-Armaturier / Armaturière de l'industrie du béton,ETTI,12177,1,12177,7162,7162,"390 route de St Simon","",TOULOUSE,"31555","31100",1.416684,43.590281,"31",Occitanie
K13- Aide à la vie quotidienne,K- Services à la personne et à la collectivité,K1304-Employé familial / Employée familiale de maison,AI,10361,1,10361,1934,1934,"34 Rue Paul Ligneul",siège,LE MANS,"72181","72000",0.191126,47.997379,"72",Pays de la Loire
A12- Espaces naturels et espaces verts,"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A1202-Agent / Agente d'entretien des espaces naturels,ACI,5176,1,5176,1698,1698,Brancion,Espace Revermont - 2 chemin Janicot - Brancion,MARTAILLY LES BRANCION,"71284","71700",4.790686,46.533645,"71",Bourgogne-Franche-Comté
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1703-Maçon / Maçonne,AI,6193,1,6193,1115,1115,"19 AV GAMBETTA","",LA ROCHEFOUCAULD EN ANGOUMOIS,"16425","16110",0.388299,45.739214,"16",Nouvelle-Aquitaine
H22- Bois,H- Industrie,H2206-Menuisier / Menuisière,ETTI,11021,1,11021,6219,6219,"77-79  Boulevard Alexandre Martin","",ORLEANS,"45234","45000",1.906057,47.906012,"45",Centre-Val de Loire
H26- Electronique et électricité,H- Industrie,H2602-Câbleur / Câbleuse d'armoires,ETTI,6178,1,6178,3863,3863,"48, rue de la Charité","",LE FLEIX,"16015","16000",0.120707,45.647758,"16",Nouvelle-Aquitaine
F16- Second oeuvre,"F- Construction, Bâtiment et Travaux publics",F1604-Plaquiste,ETTI,2290,1,2290,2327,2327,"179 Boulevard René Cassin",Espace Azur,NICE,"06088","06200",7.20907,43.667603,"06",Provence-Alpes-Côte d'Azur
F15- Montage de structures,"F- Construction, Bâtiment et Travaux publics",F1503-Charpentier / Charpentière,ETTI,1678,1,1678,1683,1683,"3 allée Helsinki",Centre Européen de l'Entreprise,SCHILTIGHEIM,"67447","67300",7.716083,48.614625,"67",Grand Est
N41- Personnel de conduite du transport routier,N- Transport et Logistique,N4101-Conducteur / Conductrice de poids lourd,ETTI,2725,1,2725,2785,2785,"23 rue Henri Barbusse","",FRIVILLE ESCARBOTIN,"80368","80130",1.548406,50.089844,"80",Hauts-de-France
H21- Alimentaire,H- Industrie,H2102-Conducteur / Conductrice de ligne en industrie alimentaire,ETTI,11476,1,11476,6587,6587,"5 Rue du Coq Vert","",AURILLAC,"15014","15000",2.438424,44.920119,"15",Auvergne-Rhône-Alpes
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1704-Manœuvre bâtiment,ETTI,3461,1,3461,3523,3523,"8-10 Boulevard Edmond Rostand","",RUEIL MALMAISON,"92063","92500",2.189723,48.874045,"92",Île-de-France
F13- Engins de chantier,"F- Construction, Bâtiment et Travaux publics",F1302-Conducteur / Conductrice d'engins de chantier,ETTI,9511,2,9511,2454,2454,"15 ter rue de la baie","",LE PORT,"97415","97460",55.267943,-21.010049,"974",La Réunion
K23- Propreté et environnement urbain,K- Services à la personne et à la collectivité,K2304-Agent / Agente de tri des déchets,ACI,10694,2,10694,6034,6034,"60 Avenue Emile Maurice","",SCHOELCHER,"97229","97233",-61.087439,14.616846,"972",Martinique
"I16- Véhicules, engins, aéronefs",I- Installation et Maintenance,I1607-Mécanicien / Mécanicienne motocycles,ACI,7357,1,7357,2276,2276,"10 Place Jules Valles","",EVRY COURCOURONNES,"91228","91000",2.429226,48.635341,"91",Île-de-France
"N11- Magasinage, manutention des charges et déménagement",N- Transport et Logistique,N1105-Manutentionnaire,ETTI,12198,1,12198,7168,7168,"18 C RUE SADI CARNOT","",LE PORT,"97407","97420",55.29327,-20.93715,"974",La Réunion
J13- Professionnels médico-techniques,J- Santé,J1301-Agent / Agente de service hospitalier (ASH),AI,8318,1,8318,737,737,"17 Rue Jean Bourgey","",VILLEURBANNE,"69266","69100",4.880477,45.770889,"69",Auvergne-Rhône-Alpes
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1705-Poseur / Poseuse de canalisations,ETTI,11162,2,11162,6332,6332,"122 Boulevard Louis Giraud","",CARPENTRAS,"84031","84200",5.04704,44.046179,"84",Provence-Alpes-Côte d'Azur
"N11- Magasinage, manutention des charges et déménagement",N- Transport et Logistique,N1105-Manutentionnaire,AI,7302,1,7302,869,869,"89 rue de la Muette","",MAISONS LAFFITTE,"78396","78600",2.136611,48.953071,"78",Île-de-France
K13- Aide à la vie quotidienne,K- Services à la personne et à la collectivité,K1304-Employé familial / Employée familiale de maison,AI,5728,3,5728,708,708,"9 Place des Martyrs","",THIERS,"63430","63300",3.54666,45.854347,"63",Auvergne-Rhône-Alpes
K13- Aide à la vie quotidienne,K- Services à la personne et à la collectivité,K1304-Employé familial / Employée familiale de maison,ETTI,3916,1,3916,1637,1637,"21 Avenue Charles Périé","",MAURIAC,"15120","15200",2.336109,45.219706,"15",Auvergne-Rhône-Alpes
H34- Traitements thermiques et traitements de surfaces,H- Industrie,H3401-Opérateur / Opératrice de traitement d'abrasion de surface,ETTI,2108,1,2108,2139,2139,"67 Avenue Leon Gambetta","",MONTAUBAN,"82121","82000",1.360655,44.021156,"82",Occitanie
K22- Nettoyage et propreté industriels,K- Services à la personne et à la collectivité,K2204-Agent / Agente de nettoyage industriel,AI,8396,1,8396,1832,1832,ZA de Kerollaire,ESPACE EMPLOI DE RHUYS,VANNES,"56240","56370",-2.78512,47.52118,"56",Bretagne
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1703-Maçon / Maçonne,ETTI,2290,1,2290,2327,2327,"179 Boulevard René Cassin",Espace Azur,NICE,"06088","06200",7.20907,43.667603,"06",Provence-Alpes-Côte d'Azur
L13- Conception et production de spectacles,L- Spectacle,L1302-Producteur / Productrice de film,ACI,10768,1,10768,6069,6069,La Batterie,"",CASE PILOTE,"97205","97222",-61.140626,14.644399,"972",Martinique
G16- Production culinaire,"G- Hôtellerie-Restauration, Tourisme, Loisirs et Animation",G1602-Commis / Commise de cuisine,AI,7306,2,7306,528,528,"24 Rue du Maréchal Joffre","",VERSAILLES,"78646","78000",2.121206,48.794901,"78",Île-de-France
"H29- Mécanique, travail des métaux et outillage",H- Industrie,H2909-Assembleur monteur / Assembleuse monteuse,ETTI,3857,1,3857,4609,4609,"20 rue Castellion","",OYONNAX,"01283","01100",5.650982,46.25262499999998,"01",Auvergne-Rhône-Alpes
G16- Production culinaire,"G- Hôtellerie-Restauration, Tourisme, Loisirs et Animation",G1603-Équipier polyvalent / Équipière polyvalente de restauration rapide,ETTI,12086,1,12086,7125,7125,"22 Rue de la PLAGE",QUARTIER PORT FREJUS,FREJUS,"83061","83370",6.728975,43.391737,"83",Provence-Alpes-Côte d'Azur
"I16- Véhicules, engins, aéronefs",I- Installation et Maintenance,I1604-Mécanicien / Mécanicienne automobile,ETTI,9310,1,9310,5359,5359,Port TOGA bat A,"",BASTIA,"2B353","20200",9.45539,42.708231,"2B",Corse
G12- Animation d'activités de loisirs,"G- Hôtellerie-Restauration, Tourisme, Loisirs et Animation",G1203-Animateur / Animatrice auprès des jeunes,AI,9482,1,9482,542,542,"157 bis Rue Denfer Rochereau","",LA ROCHELLE,"17300","17000",-1.202967,46.164084,"17",Nouvelle-Aquitaine
K21- Formation initiale et continue,K- Services à la personne et à la collectivité,K2104-Surveillant / Surveillante en milieu scolaire,AI,6295,1,6295,562,562,"9 Boulevard Condorcet","",NARBONNE,"11262","11100",3.005824,43.189834,"11",Occitanie
M18- Systèmes d'information et de télécommunication,M- Support à l'entreprise,M1805-Développeur / Développeuse informatique,EI,4959,1,4959,3780,3780,"2 Boulevard Thomson","",LESQUIN,"59343","59810",3.11939,50.589855,"59",Hauts-de-France
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1702-Ouvrier / Ouvrière en voiries,AI,4962,1,4962,3774,3774,"1 rue Rosalie Levasseur 59300 VALENCIENNES","",VALENCIENNES,"59606","59300",3.515244,50.368409,"59",Hauts-de-France
K22- Nettoyage et propreté industriels,K- Services à la personne et à la collectivité,K2204-Agent / Agente de nettoyage industriel,AI,5359,1,5359,574,574,"801 Rue de la Source","",VIRIAT,"01451","01440",5.209253,46.218329,"01",Auvergne-Rhône-Alpes
I12- Entretien technique,I- Installation et Maintenance,I1203-Agent / Agente d'entretien du bâtiment,AI,5471,1,5471,1584,1584,"204 Route de Pont de Veyle","",REPLONGES,"01320","01750",4.869081,46.300433,"01",Auvergne-Rhône-Alpes
"I13- Equipements de production, équipements collectifs",I- Installation et Maintenance,I1309-Électricien / Électricienne de maintenance,ETTI,11962,1,11962,6986,6986,"1 AVENUE DU GENERAL LECLERC","",MAISONS ALFORT,"94046","94700",2.420573,48.815608,"94",Île-de-France
A12- Espaces naturels et espaces verts,"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A1205-Sylviculteur / Sylvicultrice,ETTI,2077,2,2077,2108,2108,"7 rue Pierre Gilles","",ALBI,"81004","81000",2.152567,43.924798,"81",Occitanie
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1701-Coffreur / Coffreuse,ETTI,2977,1,2977,3040,3040,"552 rue Félix trombe",Maison du Btp Tecnosud,PERPIGNAN,"66136","66100",2.906247,42.666804,"66",Occitanie
G16- Production culinaire,"G- Hôtellerie-Restauration, Tourisme, Loisirs et Animation",G1602-Commis / Commise de cuisine,ETTI,2597,1,2597,2644,2644,"28 Rue Bahon-rault","",RENNES,"35238","35000",-1.683513,48.133009,"35",Bretagne
K23- Propreté et environnement urbain,K- Services à la personne et à la collectivité,K2303-Ripeur / Ripeuse,ACI,7746,1,7746,4818,4818,LOT La charmeuse,Maison MASPIMBY rue du bouquet garni,LE PRECHEUR,"97225","97250",-61.220101,14.792541,"972",Martinique
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1704-Manœuvre bâtiment,ETTI,12276,3,12276,6612,6612,"16 rue des Vauzelles",MAISON DE LA FORMATION,ANCENIS ST GEREON,"44036","44110",,,"44",Pays de la Loire
"N11- Magasinage, manutention des charges et déménagement",N- Transport et Logistique,N1105-Manutentionnaire,AI,6693,1,6693,1299,1299,"18 Rue du Savoureulx","",LE PETIT PRESSIGNY,"37184","37350",0.918758,46.922143,"37",Centre-Val de Loire
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1704-Manœuvre bâtiment,ETTI,11286,1,11286,6789,6789,"3 bis rue de ROUEN","",SAUMUR,"49328","49400",-0.068957,47.26817,"49",Pays de la Loire
G11- Accueil et promotion touristique,"G- Hôtellerie-Restauration, Tourisme, Loisirs et Animation",G1102-Chargé / Chargée de promotion touristique,ACI,10620,1,10620,3130,3130,"326 Rue Jean Jaures","",ROOST WARENDIN,"59509","59286",3.109459,50.420519,"59",Hauts-de-France
I12- Entretien technique,I- Installation et Maintenance,I1203-Agent / Agente d'entretien du bâtiment,AI,10347,1,10347,1934,1934,"34 Rue Paul Ligneul",siège,LE MANS,"72181","72000",0.191126,47.997379,"72",Pays de la Loire
"N11- Magasinage, manutention des charges et déménagement",N- Transport et Logistique,N1101-Cariste,ETTI,6629,2,6629,4159,4159,"64 Avenue General Henri Nogues","",TOULON,"83137","83000",5.920978,43.128011,"83",Provence-Alpes-Côte d'Azur
